name,state,lat,lon,score,commute,pop,region,division
Johnson City,TN,36.4703712463379,-82.4363861083984,0.0621988103,0.325,2,South,East South Central
Morristown,TN,36.0965385437012,-83.4072494506836,0.0536519401,0.276,2,South,East South Central
Middlesborough,TN,36.5515403747559,-83.5353317260742,0.0726351365,0.359,2,South,East South Central
Knoxville,TN,35.9522590637207,-84.242790222168,0.0562812127,0.269,3,South,East South Central
Winston-Salem,NC,36.0812759399414,-80.5053329467773,0.0448007919,0.292,2,South,South Atlantic
Martinsville,VA,36.7005882263184,-80.2941131591797,0.0518358536,0.313,2,South,South Atlantic
Greensboro,NC,36.311107635498,-79.7673873901367,0.0473969392,0.305,3,South,South Atlantic
North Wilkesboro,NC,36.2834167480469,-81.2522048950195,0.0516631268,0.289,2,South,South Atlantic
Galax,VA,36.5919990539551,-81.039924621582,0.0795698911,0.325,2,South,South Atlantic
Spartanburg,SC,34.8730812072754,-81.7859649658203,0.0431111902,0.299,2,South,South Atlantic
Gastonia,NC,35.4115333557129,-81.6222229003906,0.0515273064,0.288,2,South,South Atlantic
Charlotte,NC,35.0905609130859,-80.691764831543,0.0437852368,0.241,3,South,South Atlantic
Boone,NC,36.196964263916,-81.8403930664062,0.0560836494,0.375,2,South,South Atlantic
Morganton,NC,35.8018951416016,-81.9952087402344,0.0544464625,0.315,2,South,South Atlantic
Hickory,NC,35.8712272644043,-81.2875671386719,0.0449696705,0.322,2,South,South Atlantic
Franklin,NC,34.9771461486816,-83.3769378662109,0.0566615611,0.416,2,South,South Atlantic
Sylva,NC,35.347770690918,-83.4053268432617,0.0606653616,0.412,2,South,South Atlantic
Asheville,NC,35.5480651855469,-82.6990661621094,0.0633802786,0.314,2,South,South Atlantic
Andrews,NC,34.9651565551758,-83.8927536010742,0.0804810375,0.361,2,South,South Atlantic
Bennettsville,SC,34.5340118408203,-79.9775314331055,0.0297968406,0.34,2,South,South Atlantic
Florence,SC,33.9225311279297,-79.712776184082,0.0356782004,0.327,2,South,South Atlantic
Fayetteville,NC,35.0354957580566,-79.331413269043,0.0382470116,0.322,2,South,South Atlantic
Wilmington,NC,34.4779357910156,-78.3368682861328,0.0418033972,0.317,2,South,South Atlantic
Wilson,NC,35.9106788635254,-77.7810287475586,0.0319583789,0.36,2,South,South Atlantic
Raleigh,NC,35.7296524047852,-78.7137908935547,0.0499866344,0.25,3,South,South Atlantic
Henderson,NC,36.349494934082,-78.2416152954102,0.0336088166,0.345,2,South,South Atlantic
Goldsboro,NC,35.0529937744141,-78.1784744262695,0.0453549512,0.348,2,South,South Atlantic
Jacksonville,NC,35.192928314209,-77.1085052490234,0.0470072404,0.375,2,South,South Atlantic
Virginia Beach,VA,36.498649597168,-76.2944564819336,0.0535509437,0.253,3,South,South Atlantic
Washington,NC,35.6822280883789,-76.5391998291016,0.0497884788,0.387,2,South,South Atlantic
South Boston,VA,36.9987564086914,-78.5038604736328,0.0490487516,0.318,2,South,South Atlantic
Lynchburg,VA,37.3504180908203,-79.2872543334961,0.067359142,0.309,2,South,South Atlantic
Richmond,VA,37.4937553405762,-77.3593826293945,0.0547646731,0.238,3,South,South Atlantic
Newport News,VA,37.1789703369141,-76.745735168457,0.0513657629,0.29,2,South,South Atlantic
Roanoke Rapids,NC,36.2598991394043,-77.3320770263672,0.0327529013,0.357,2,South,South Atlantic
Gulfport,MS,30.6803550720215,-89.4176559448242,0.0671070293,0.298,2,South,East South Central
Laurel,MS,31.800952911377,-89.1161804199219,0.0692070574,0.32,2,South,East South Central
Hattiesburg,MS,31.2641201019287,-89.4493865966797,0.0605108887,0.358,2,South,East South Central
Kosciusko,MS,33.1420021057129,-90.0540618896484,0.0354896672,0.365,2,South,East South Central
Yazoo City,MS,32.897403717041,-90.47216796875,0.0247895233,0.417,2,South,East South Central
Jackson,MS,32.2902183532715,-90.2277221679688,0.0375340469,0.267,2,South,East South Central
McComb,MS,31.2274875640869,-90.7779388427734,0.0625297204,0.341,2,South,East South Central
Brookhaven,MS,31.5236892700195,-90.2544555664062,0.0642954856,0.321,2,South,East South Central
Jena,LA,31.5846118927002,-91.9713516235352,0.1264222562,0.369,1,South,West South Central
Natchez,MS,31.6362190246582,-91.4330596923828,0.0487460271,0.418,2,South,East South Central
Vicksburg,MS,32.1802291870117,-91.1058883666992,0.0311782081,0.379,2,South,East South Central
New Orleans,LA,30.0419330596924,-89.9018478393555,0.0512128659,0.247,3,South,West South Central
Houma,LA,29.544864654541,-90.8623275756836,0.1134691536,0.414,2,South,West South Central
Baton Rouge,LA,30.5509929656982,-91.1708374023438,0.0603968948,0.258,3,South,West South Central
Alexandria,LA,31.3210601806641,-92.3311233520508,0.0672128424,0.343,2,South,West South Central
Lake Charles,LA,30.6558399200439,-93.314323425293,0.0971184596,0.369,2,South,West South Central
Lafayette,LA,30.2178287506104,-91.953857421875,0.0950535387,0.339,2,South,West South Central
Monroe,LA,32.3551597595215,-91.7262649536133,0.0551850982,0.341,2,South,West South Central
Lake Providence,LA,32.7700843811035,-91.2655181884766,0.0573065914,0.393,1,South,West South Central
Magnolia,AR,33.2614669799805,-93.628547668457,0.060388945,0.463,2,South,West South Central
Shreveport,LA,32.0001945495605,-93.1822052001953,0.0527185053,0.312,2,South,West South Central
Ruston,LA,32.1847763061523,-92.6748275756836,0.0688279271,0.464,2,South,West South Central
Many,LA,31.4778690338135,-93.6567306518555,0.1516079605,0.306,1,South,West South Central
Crossett,AR,33.1967811584473,-92.0092163085938,0.041538462,0.502,1,South,West South Central
Pine Bluff,AR,33.6581268310547,-91.5339050292969,0.0428298265,0.396,2,South,West South Central
El Dorado,AR,33.5784034729004,-92.5011444091797,0.0566330478,0.437,2,South,West South Central
Little Rock,AR,34.7950592041016,-92.6370162963867,0.0535617173,0.293,2,South,West South Central
Stuttgart,AR,34.4396324157715,-91.3426666259766,0.0539629012,0.529,2,South,West South Central
Searcy,AR,35.3877983093262,-91.454719543457,0.0891045406,0.421,2,South,West South Central
London,KY,37.024299621582,-84.0044937133789,0.0638953075,0.345,2,South,East South Central
Richmond,KY,37.589282989502,-84.1347045898438,0.0590868406,0.35,2,South,East South Central
West Liberty,KY,37.6686782836914,-83.3554000854492,0.0684385374,0.295,2,South,East South Central
Hazard,KY,37.1504173278809,-83.1802062988281,0.1306593716,0.315,2,South,East South Central
Campbellsville,KY,37.2286758422852,-85.249870300293,0.0714285746,0.404,2,South,East South Central
Somerset,KY,36.7019195556641,-84.5739974975586,0.0627145097,0.372,2,South,East South Central
Greenwood,MS,33.5430183410645,-90.0163497924805,0.0331106596,0.435,2,South,East South Central
Clarksdale,MS,34.1848678588867,-90.2487945556641,0.0271325037,0.41,2,South,East South Central
Greenville,MS,33.2874450683594,-90.9878692626953,0.0221015904,0.498,2,South,East South Central
Jackson,TN,35.6781158447266,-88.8984222412109,0.0474881269,0.366,2,South,East South Central
Dyersburg,TN,35.9390640258789,-89.5839614868164,0.0431115292,0.442,2,South,East South Central
Lexington,TN,35.6141738891602,-88.0600204467773,0.0816599727,0.341,2,South,East South Central
Tupelo,MS,34.0106201171875,-88.6931762695312,0.0435734168,0.341,2,South,East South Central
Corinth,MS,35.0568542480469,-88.3704833984375,0.06576325,0.372,2,South,East South Central
New Albany,MS,34.6554679870605,-88.9695587158203,0.0546255521,0.299,2,South,East South Central
Memphis,TN,35.0354385375977,-90.0650634765625,0.0281827394,0.224,3,South,East South Central
West Memphis,AR,34.7605514526367,-90.5962371826172,0.0320140719,0.416,2,South,West South Central
Bowling Green,KY,36.9742088317871,-86.3613433837891,0.0642673522,0.375,2,South,East South Central
Glasgow,KY,36.8960647583008,-85.7584686279297,0.0613557659,0.376,2,South,East South Central
Columbia,TN,35.5133590698242,-87.1828079223633,0.0570192672,0.304,2,South,East South Central
Nashville,TN,36.0064163208008,-86.4776077270508,0.0572634488,0.24,3,South,East South Central
Tullahoma,TN,35.4622421264648,-86.3036117553711,0.0614474267,0.37,2,South,East South Central
Dickson,TN,36.0888633728027,-87.8451919555664,0.0715361461,0.33,2,South,East South Central
Clarksville,TN,36.6690673828125,-87.5625991821289,0.0599688478,0.319,2,South,East South Central
Huntsville,AL,34.855583190918,-86.7002639770508,0.0566761531,0.286,2,South,East South Central
Gadsden,AL,34.3181457519531,-86.0703277587891,0.071056664,0.328,2,South,East South Central
Florence,AL,35.096565246582,-87.5710220336914,0.0710671544,0.33,2,South,East South Central
McMinnville,TN,35.8743438720703,-85.6722869873047,0.0572254322,0.367,2,South,East South Central
Cookeville,TN,36.3022613525391,-85.4125366210938,0.0720288083,0.38,2,South,East South Central
Chattanooga,TN,35.1550254821777,-85.337043762207,0.0570530631,0.256,2,South,East South Central
Crossville,TN,35.9107475280762,-84.981071472168,0.0708446875,0.338,2,South,East South Central
Ellijay,GA,34.6945686340332,-84.3799591064453,0.064965196,0.292,2,South,South Atlantic
Cleveland,TN,35.4968109130859,-84.543327331543,0.0668229759,0.343,2,South,East South Central
Rome,GA,34.4316864013672,-85.1338729858398,0.0484621339,0.301,2,South,South Atlantic
Tampa,FL,28.1531715393066,-82.4193954467773,0.060128428,0.264,3,South,South Atlantic
Lakeland,FL,27.7498950958252,-81.4550399780273,0.0520584956,0.289,2,South,South Atlantic
Sarasota,FL,27.1796760559082,-82.2600936889648,0.0683156624,0.319,3,South,South Atlantic
Miami,FL,25.5369129180908,-80.6895523071289,0.0729660839,0.198,3,South,South Atlantic
Port St. Lucie,FL,27.1259841918945,-80.8225402832031,0.062430378,0.26,3,South,South Atlantic
Cape Coral,FL,26.4002437591553,-81.7269973754883,0.0601915196,0.273,3,South,South Atlantic
Palm Bay,FL,28.3434429168701,-80.7524337768555,0.0658892095,0.3,2,South,South Atlantic
Orlando,FL,28.5010166168213,-81.4672393798828,0.0578166097,0.212,3,South,South Atlantic
Deltona,FL,29.2213096618652,-81.4155960083008,0.0587789156,0.303,2,South,South Atlantic
Jacksonville,FL,30.4425716400146,-81.7244110107422,0.0492131598,0.229,3,South,South Atlantic
Lake City,FL,30.1301002502441,-83.1948776245117,0.049539458,0.339,2,South,South Atlantic
Ocala,FL,29.1660633087158,-82.1488647460938,0.0564204939,0.273,2,South,South Atlantic
Gainesville,FL,29.6797657012939,-82.6522445678711,0.0496746562,0.321,2,South,South Atlantic
Sumter,SC,33.9842262268066,-80.3857803344727,0.0349367075,0.33,2,South,South Atlantic
Columbia,SC,33.8458404541016,-80.9798583984375,0.0372132659,0.28,3,South,South Atlantic
Barnwell,SC,32.9641990661621,-81.2760009765625,0.0353721455,0.349,2,South,South Atlantic
Charleston,SC,33.056827545166,-80.1714706420898,0.0444692373,0.269,2,South,South Atlantic
Greenville,SC,34.444034576416,-82.5311050415039,0.0469857492,0.308,3,South,South Atlantic
Aiken,GA,33.4064865112305,-82.2422409057617,0.0410487503,0.275,2,South,South Atlantic
Washington,GA,33.6700859069824,-82.8233413696289,0.031144781,0.341,2,South,South Atlantic
Fitzgerald,GA,31.6627140045166,-83.2339935302734,0.0359147042,0.458,1,South,South Atlantic
Cordele,GA,32.033317565918,-83.5846252441406,0.0330490395,0.43,2,South,South Atlantic
Valdosta,GA,31.2604084014893,-83.3960266113281,0.0318490118,0.422,2,South,South Atlantic
Waycross,GA,31.2826557159424,-82.57080078125,0.0445917435,0.41,2,South,South Atlantic
Brunswick,GA,31.302375793457,-81.708869934082,0.0473826714,0.348,2,South,South Atlantic
Hinesville,GA,31.7835903167725,-81.7807998657227,0.0489417985,0.413,2,South,South Atlantic
Statesboro,GA,32.6167068481445,-81.9179534912109,0.0388888903,0.398,2,South,South Atlantic
Savannah,GA,32.2408256530762,-81.0676116943359,0.0409670919,0.297,2,South,South Atlantic
Macon,GA,32.5219421386719,-83.9226989746094,0.0326111726,0.294,2,South,South Atlantic
Vidalia,GA,32.0088043212891,-82.6852188110352,0.0480652973,0.391,2,South,South Atlantic
Milledgeville,GA,33.156005859375,-83.0629272460938,0.0322265625,0.36,2,South,South Atlantic
Dublin,GA,32.7125244140625,-82.7807083129883,0.0320269689,0.343,2,South,South Atlantic
Atlanta,GA,33.8539428710938,-84.2125625610352,0.0453297347,0.178,3,South,South Atlantic
Griffin,GA,33.1149978637695,-84.2098388671875,0.0402813293,0.315,2,South,South Atlantic
Winder,GA,33.9783325195312,-83.3426895141602,0.0379506648,0.323,2,South,South Atlantic
Toccoa,GA,34.2676086425781,-83.0066680908203,0.0416666679,0.407,2,South,South Atlantic
Gainesville,GA,34.4037170410156,-83.6861419677734,0.069715701,0.269,2,South,South Atlantic
Talladega,AL,33.1638946533203,-86.1251373291016,0.0449032262,0.339,2,South,East South Central
LaGrange,GA,33.5284309387207,-85.4132308959961,0.0523430221,0.294,2,South,South Atlantic
Columbus,GA,32.6434173583984,-84.7794570922852,0.0349603333,0.325,2,South,South Atlantic
Americus,GA,32.257884979248,-84.4287796020508,0.0344074294,0.409,2,South,South Atlantic
Auburn,AL,32.3696784973145,-85.6117477416992,0.0342648029,0.38,2,South,East South Central
Tallahassee,FL,30.4377670288086,-84.7893295288086,0.0470258147,0.275,2,South,South Atlantic
Panama City,FL,30.0905723571777,-85.3004837036133,0.0581574887,0.358,2,South,South Atlantic
Bainbridge,GA,31.0324802398682,-84.7773666381836,0.0393333323,0.39,2,South,South Atlantic
Thomasville,GA,30.9123077392578,-84.0003814697266,0.0328861959,0.389,2,South,South Atlantic
Albany,GA,31.53928565979,-84.1598281860352,0.0276326872,0.35,2,South,South Atlantic
Eufaula,GA,31.6915855407715,-84.9840850830078,0.022954924,0.388,2,South,South Atlantic
Dothan,AL,31.4178009033203,-85.4327774047852,0.0582822077,0.361,2,South,East South Central
Meridian,MS,32.5009651184082,-88.8334197998047,0.0467728749,0.333,2,South,East South Central
Columbus,MS,33.3776626586914,-88.3316268920898,0.0360278524,0.362,2,South,East South Central
Starkville,MS,33.4253387451172,-88.9440841674805,0.0399361029,0.437,2,South,East South Central
Jasper,AL,33.7509765625,-87.3326416015625,0.0865883604,0.32,2,South,East South Central
Birmingham,AL,33.4854469299316,-86.7145309448242,0.0504318327,0.22,3,South,East South Central
Tuscaloosa,AL,32.8385696411133,-87.3525161743164,0.0403225794,0.343,2,South,East South Central
Demopolis,AL,32.5304336547852,-87.9114608764648,0.042383045,0.337,2,South,East South Central
Pensacola,FL,30.5462055206299,-86.7144317626953,0.0612063408,0.309,2,South,South Atlantic
Mobile,AL,31.4869632720947,-87.666259765625,0.0513980016,0.267,2,South,East South Central
Atmore,AL,31.4372310638428,-87.3446884155273,0.0477876104,0.39,2,South,East South Central
Montgomery,AL,32.2923164367676,-86.4008636474609,0.0330373719,0.278,2,South,East South Central
Troy,AL,31.7107219696045,-86.189453125,0.0679886714,0.409,2,South,East South Central
Bluefield,VA,37.1378021240234,-81.580436706543,0.1107491851,0.32,2,South,South Atlantic
Welch,WV,37.4899940490723,-81.6393432617188,0.1599147171,0.263,2,South,South Atlantic
Big Stone Gap,VA,36.9120674133301,-82.72314453125,0.1036082506,0.317,2,South,South Atlantic
